time,total
Sat Dec 17 06:27:09 EST 2016,0m7.176s
Sat Dec 17 06:34:08 EST 2016,0m7.076s
Sat Dec 17 06:46:08 EST 2016,0m7.050s
Sat Dec 17 06:58:08 EST 2016,0m7.155s
Sat Dec 17 07:04:08 EST 2016,0m7.159s
Sat Dec 17 07:12:09 EST 2016,0m7.243s
Sat Dec 17 07:27:08 EST 2016,0m7.377s
Sat Dec 17 07:34:08 EST 2016,0m7.001s
Sat Dec 17 07:46:08 EST 2016,0m7.042s
Sat Dec 17 07:58:08 EST 2016,0m7.144s
Sat Dec 17 08:04:09 EST 2016,0m7.155s
Sat Dec 17 08:12:08 EST 2016,0m7.169s
Sat Dec 17 08:27:08 EST 2016,0m7.104s
Sat Dec 17 08:34:08 EST 2016,0m7.186s
Sat Dec 17 08:46:09 EST 2016,0m7.287s
Sat Dec 17 08:58:08 EST 2016,0m7.157s
