time,total
Fri Dec 16 20:58:02 EST 2016,0m0.072s
Fri Dec 16 21:04:01 EST 2016,0m0.067s
Fri Dec 16 21:12:01 EST 2016,0m0.053s
Fri Dec 16 21:27:01 EST 2016,0m0.082s
Fri Dec 16 21:34:01 EST 2016,0m0.064s
Fri Dec 16 21:46:02 EST 2016,0m0.059s
Fri Dec 16 21:58:01 EST 2016,0m0.079s
Fri Dec 16 22:04:01 EST 2016,0m0.074s
Fri Dec 16 22:12:01 EST 2016,0m0.066s
Fri Dec 16 22:27:01 EST 2016,0m0.064s
Fri Dec 16 22:34:01 EST 2016,0m0.062s
Fri Dec 16 22:46:02 EST 2016,0m0.056s
Fri Dec 16 22:58:01 EST 2016,0m0.062s
Fri Dec 16 23:04:01 EST 2016,0m0.061s
Fri Dec 16 23:12:01 EST 2016,0m0.073s
Fri Dec 16 23:27:01 EST 2016,0m0.071s
Fri Dec 16 23:34:01 EST 2016,0m0.065s
Fri Dec 16 23:46:01 EST 2016,0m0.062s
Fri Dec 16 23:58:01 EST 2016,0m0.059s
Sat Dec 17 00:04:01 EST 2016,0m0.065s
Sat Dec 17 00:12:01 EST 2016,0m0.069s
Sat Dec 17 00:27:01 EST 2016,0m0.058s
Sat Dec 17 00:34:02 EST 2016,0m0.071s
Sat Dec 17 00:46:01 EST 2016,0m0.061s
Sat Dec 17 00:58:01 EST 2016,0m0.079s
Sat Dec 17 01:04:01 EST 2016,0m0.060s
Sat Dec 17 01:12:01 EST 2016,0m0.052s
Sat Dec 17 01:27:01 EST 2016,0m0.068s
Sat Dec 17 01:34:01 EST 2016,0m0.069s
Sat Dec 17 01:46:01 EST 2016,0m0.055s
Sat Dec 17 01:58:01 EST 2016,0m0.069s
Sat Dec 17 02:04:01 EST 2016,0m0.071s
Sat Dec 17 02:12:01 EST 2016,0m0.055s
Sat Dec 17 02:27:01 EST 2016,0m0.065s
Sat Dec 17 02:34:01 EST 2016,0m0.073s
Sat Dec 17 02:46:02 EST 2016,0m0.075s
Sat Dec 17 02:58:01 EST 2016,0m0.069s
Sat Dec 17 03:04:01 EST 2016,0m0.073s
Sat Dec 17 03:12:01 EST 2016,0m0.075s
Sat Dec 17 03:27:01 EST 2016,0m0.066s
Sat Dec 17 03:34:01 EST 2016,0m0.069s
Sat Dec 17 03:46:01 EST 2016,0m0.068s
Sat Dec 17 03:58:02 EST 2016,0m0.065s
Sat Dec 17 04:04:01 EST 2016,0m0.060s
Sat Dec 17 04:12:01 EST 2016,0m0.077s
Sat Dec 17 04:27:01 EST 2016,0m0.050s
Sat Dec 17 04:34:01 EST 2016,0m0.070s
Sat Dec 17 04:46:02 EST 2016,0m0.068s
Sat Dec 17 04:58:01 EST 2016,0m0.057s
Sat Dec 17 05:04:01 EST 2016,0m0.059s
Sat Dec 17 05:12:01 EST 2016,0m0.065s
Sat Dec 17 05:27:01 EST 2016,0m0.059s
Sat Dec 17 05:34:01 EST 2016,0m0.067s
Sat Dec 17 05:46:01 EST 2016,0m0.059s
Sat Dec 17 05:58:01 EST 2016,0m0.083s
Sat Dec 17 06:04:01 EST 2016,0m0.070s
Sat Dec 17 06:12:01 EST 2016,0m0.069s
Sat Dec 17 06:27:01 EST 2016,0m0.054s
Sat Dec 17 06:34:01 EST 2016,0m0.081s
Sat Dec 17 06:46:01 EST 2016,0m0.067s
Sat Dec 17 06:58:01 EST 2016,0m0.076s
Sat Dec 17 07:04:01 EST 2016,0m0.076s
Sat Dec 17 07:12:01 EST 2016,0m0.073s
Sat Dec 17 07:27:01 EST 2016,0m0.075s
Sat Dec 17 07:34:01 EST 2016,0m0.064s
Sat Dec 17 07:46:01 EST 2016,0m0.062s
Sat Dec 17 07:58:01 EST 2016,0m0.063s
Sat Dec 17 08:04:01 EST 2016,0m0.089s
Sat Dec 17 08:12:01 EST 2016,0m0.068s
Sat Dec 17 08:27:01 EST 2016,0m0.065s
Sat Dec 17 08:34:01 EST 2016,0m0.065s
Sat Dec 17 08:46:01 EST 2016,0m0.083s
Sat Dec 17 08:58:01 EST 2016,0m0.075s
